2116490,648,guangdong red-banded snake chuvirus-like virus
2116472,665,guangdong chinese water snake rubivirus
2116442,686,guangdong greater green snake arterivirus
2116440,688,hainan oligodon formosanus arterivirus
2116439,689,hainan hebius popei arterivirus
2116437,691,hainan oriental leaf-toed gecko hantavirus
2116385,729,hainan hebius popei torovirus
2116384,730,guangdong red-banded snake torovirus
2116383,731,guangdong chinese water snake torovirus
2116382,732,guangdong mandarin rat snake torovirus
2116376,738,hainan oriental leaf-toed gecko hepacivirus
2116374,740,guangxi chinese leopard gecko hepacivirus
2116371,743,yili teratoscincus roborowskii hepacivirus
2116337,763,guangxi changeable lizard reovirus
2116329,769,hainan gekko similignum astrovirus
2116195,788,yili teratoscincus roborowskii picornavirus 2
2116194,789,yili teratoscincus roborowskii picornavirus 1
2116188,795,hainan oriental leaf-toed gecko picornavirus
2116187,796,hainan gekko similignum picornavirus
2116185,798,guangxi chinese leopard gecko picornavirus
2116184,799,guangxi changeable lizard picornavirus 2
2116183,800,guangxi changeable lizard picornavirus 1
2116181,802,guangdong red-banded snake picornavirus
2116179,804,guangdong chinese water snake picornavirus
2116169,813,guangdong greater green snake calicivirus
2116148,834,guangdong chinese water snake astrovirus
2116134,848,hainan oriental leaf-toed gecko astrovirus 2
2116133,849,hainan oriental leaf-toed gecko astrovirus 1
2116119,863,yili teratoscincus roborowskii astrovirus
2116115,867,guangxi changeable lizard astrovirus
2016402,9371,southwest carpet python virus
2016401,9372,jungle carpet python virus
2016400,9373,morelia viridis nidovirus,VHostDB
2003672,11928,lizard atadenovirus a
1986118,12563,ball python nidovirus 1,VHostDB
1909409,25273,snake nidovirus
1881951,28117,loveridges garter snake virus 1,VHostDB
1672380,45974,haartman institute snake virus
1670663,46044,corn snake parvovirus
1670662,46045,bearded dragon parvovirus,VHostDB
1631550,49928,long-tailed grass lizard adenovirus 1
1620702,50627,german gecko ranavirus,VHostDB
1585661,59116,blood python ranavirus
1585657,59120,lacerta monticola ranavirus
1585656,59121,japalura splendida ranavirus
1585655,59122,dopasia gracilis ranavirus
1585654,59123,anolis sagrei ranavirus
1585653,59124,anolis carolinensis ranavirus
1529450,64091,anaconda paramyxovirus,VHostDB
1526652,64297,python nidovirus
1462685,71052,bush viper reovirus,VHostDB
1458867,72104,lizard adenovirus ib-2014
1448984,73221,pogona vitticeps erythrocytic iridovirus
1406222,76954,snake parvovirus
1382279,78689,university of helsinki virus,VHostDB
1342750,81427,anolis adenovirus 2
1342749,81428,anolis adenovirus 1
1303019,87816,rout virus,VHostDB
1288350,89364,agama adenovirus 1 rem-2013
1272957,92256,sena madureira virus,VHostDB
1266463,92632,reptile vesivirus cro1,VHostDB
1223562,96946,golden gate virus,VHostDB
1223561,96947,cas virus,VHostDB
1195087,100672,sunshine coast virus,VHostDB
1158192,104004,caiman lizard rhabdovirus
1158190,104006,marco virus,VHostDB
1158189,104007,chaco virus,VHostDB
1147765,104735,snake adenovirus ger09
1146872,104957,snake atadenovirus a
1081054,111911,morelia spilota papillomavirus 1,VHostDB
930198,122787,lacerta monticola erythrocytic virus
874272,126312,lizard adenovirus 2,VHostDB
870588,127390,snake melon asteroid mosaic virus
659373,143843,lizard paramyxovirus
659372,143844,snake paramyxovirus
642950,146580,rough green snake reovirus
559883,151583,snake adenovirus 3
559881,151584,snake adenovirus 2
527213,155643,lacerta viridis herpesvirus 1
447023,166244,thamnophis sauritus erythrocytic virus
346176,176506,gekko adenovirus
252602,181653,snake adeno-associated virus,VHostDB
201997,183659,python molurus endogenous retrovirus
201996,183660,python curtus endogenous retrovirus
200483,183688,unidentified snake reovirus
189830,184218,snake adenovirus 1,VHostDB
122203,186799,reptilian ferlavirus,VHostDB
99268,187422,varanus komodoensis retrovirus
99267,187423,thamnophis sirtalis retrovirus
99264,187426,bothrops jararaca retrovirus
99263,187427,boa constrictor retrovirus
99262,187428,bitis arietans retrovirus
99261,187429,anolis carolinensis retrovirus
80267,187751,regina ranavirus
