2045193,4708,puccinia striiformis totivirus 5
2045192,4709,puccinia striiformis totivirus 4
2045191,4710,puccinia striiformis totivirus 3
2045190,4711,puccinia striiformis totivirus 2
2045189,4712,puccinia striiformis totivirus 1
1816488,33504,cronartium ribicola mitovirus 5,VHostDB
1816487,33505,cronartium ribicola mitovirus 4,VHostDB
1816486,33506,cronartium ribicola mitovirus 3,VHostDB
1816485,33507,cronartium ribicola mitovirus 2,VHostDB
1816484,33508,cronartium ribicola mitovirus 1,VHostDB
1750576,39504,phakopsora pachyrhizi mycovirus
